gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
hsa-miR-2682-5p	520	300.5	-0.209394757333387	0.4443	0.04148
hsa-miR-1278	207	301.4	-0.136378660257795	0.4456	0.04178
hsa-miR-6884-5p	2423	301.8	-0.11966711132536	0.4452	0.0419
hsa-let-7d-3p	8	302.9	-0.113410835081818	0.4471	0.04225
hsa-miR-12114	99	305.4	-0.136378660257795	0.4534	0.04302
hsa-miR-4687-3p	1312	306	-0.115910090866467	0.4536	0.04321
hsa-miR-6793-5p	2245	306.7	-0.11966711132536	0.454	0.04342
hsa-miR-6516-5p	2055	307.1	-0.115128608240301	0.4537	0.04356
hsa-miR-132-5p	262	308.6	-0.218430455184026	0.4567	0.04401
hsa-miR-1-3p	284	309.2	-0.117317827235331	0.4571	0.04423
hsa-let-7e-5p	11	311.8	-0.10609421115363	0.4638	0.04505
hsa-miR-3140-5p	620	314.8	-0.106404802121652	0.472	0.04603
hsa-miR-146a-5p	301	315.5	-0.104542258507317	0.4725	0.04626
hsa-miR-6797-5p	2253	315.6	-0.106404802121652	0.4711	0.0463
hsa-miR-378d	894	325.9	-0.158751428693752	0.5039	0.04971
hsa-miR-320e	714	1.442	1.41899946543127	1.05e-06	3.953e-10
hsa-miR-4421	1070	3.302	1.24731993497982	2.655e-05	1.999e-08
hsa-miR-641	2003	3.634	1.25096157353322	2.663e-05	3.008e-08
hsa-miR-1285-3p	216	5.429	1.16542962042419	0.0001035	1.559e-07
hsa-miR-219b-5p	486	6.214	1.1551015581257	0.0001415	2.663e-07
hsa-miR-3133	609	8.759	1.05102400302447	0.0004438	1.003e-06
hsa-miR-193b-5p	399	9.906	1.04194382997017	0.0006059	1.597e-06
hsa-miR-619-5p	1976	11.17	1.01863417413905	0.0008326	2.508e-06
hsa-miR-1468-5p	298	12.93	0.967168607532628	0.001271	4.308e-06
hsa-miR-1249-3p	158	17.9	0.9061209529971	0.003601	1.356e-05
hsa-miR-4671-5p	1291	19.36	0.882056070968626	0.004264	1.766e-05
hsa-miR-92a-1-5p	2610	19.77	0.880489626687819	0.004195	1.895e-05
hsa-miR-664b-3p	2080	25.56	0.810648747782646	0.009065	4.437e-05
hsa-miR-616-3p	1970	26.51	0.817213924258327	0.009473	4.993e-05
hsa-miR-6741-5p	2134	28	0.799916202989014	0.01055	5.955e-05
hsa-miR-1246	154	28.79	0.795766947782392	0.01081	6.512e-05
hsa-miR-4435	1088	29.27	0.791605724704552	0.01073	6.87e-05
hsa-miR-4709-5p	1348	30.38	0.770617646656203	0.01142	7.737e-05
hsa-miR-9985	2651	33.11	0.756169328139299	0.01421	0.0001016
hsa-miR-6514-5p	2050	35.33	0.748461233004036	0.01655	0.0001246
hsa-miR-6852-5p	2361	36.05	0.743299527888257	0.01679	0.0001328
hsa-miR-204-3p	436	37.41	0.728573602559365	0.01799	0.000149
hsa-miR-125b-2-3p	176	38.68	0.732920382108257	0.01909	0.0001653
hsa-miR-519a-5p	1654	40.24	0.696884090855454	0.02067	0.0001868
hsa-miR-6779-5p	2215	42.45	0.681674141792833	0.02339	0.0002202
hsa-miR-146b-3p	302	43.65	0.6915341649192	0.02449	0.0002398
hsa-miR-95-3p	2634	45.48	0.669933835668961	0.02674	0.0002719
hsa-miR-491-3p	1522	48.88	0.668119124686432	0.0321	0.0003384
hsa-miR-4473	1128	49.47	0.662661255475094	0.03213	0.0003508
hsa-miR-3918	925	50.17	0.656267534794289	0.0324	0.0003659
hsa-miR-324-5p	721	52.78	0.654435540845399	0.03651	0.0004261
hsa-miR-598-5p	1917	53.19	0.64984535230601	0.0362	0.0004362
hsa-miR-1285-5p	217	53.21	0.633198686374004	0.03515	0.0004368
hsa-miR-4741	1401	53.36	0.651683180632109	0.03441	0.0004404
hsa-miR-4787-3p	1476	54.63	0.644317778337577	0.03584	0.0004723
hsa-miR-3177-3p	671	56.02	0.637842060324105	0.03756	0.0005091
hsa-miR-16-2-3p	339	56.66	0.631337144127481	0.0378	0.0005266
hsa-miR-5001-3p	1544	56.81	0.612588406698718	0.03709	0.0005307
hsa-miR-224-3p	494	61.68	0.621055503299739	0.04609	0.0006768
hsa-miR-7-1-3p	2467	63.46	0.599317793698226	0.04887	0.000736
hsa-miR-33b-3p	743	63.65	0.614474282837701	0.04811	0.0007427
hsa-miR-5010-3p	1564	64.76	0.604071323668861	0.04941	0.0007813
hsa-miR-10395-3p	31	67.01	0.603121869839996	0.05332	0.0008632
hsa-miR-378f	896	67.41	0.562669826102702	0.053	0.000878
hsa-miR-4725-3p	1375	68.73	0.561692721398309	0.05483	0.000929
hsa-miR-760	2502	69.01	0.58207422139633	0.05429	0.0009402
hsa-miR-10526-3p	55	69.76	0.572404647390332	0.05483	0.0009703
hsa-miR-3617-5p	778	70.53	0.585923976958601	0.05542	0.001002
hsa-miR-454-5p	1222	71.7	0.569491091958716	0.05693	0.00105
hsa-miR-7114-5p	2466	75.94	0.532067552289031	0.06585	0.00124
hsa-miR-597-3p	1914	77.15	0.538041453333664	0.06754	0.001297
hsa-miR-200b-5p	427	79.99	0.544979883255804	0.07347	0.001438
hsa-miR-942-5p	2630	82.53	0.546956178141411	0.0788	0.001572
hsa-miR-195-5p	403	82.95	0.534061602421118	0.07846	0.001595
hsa-miR-6720-3p	2097	84.11	0.528071164578735	0.08013	0.001659
hsa-miR-616-5p	1972	84.12	0.520045024039818	0.07873	0.00166
hsa-miR-1276	204	86.29	0.528071164578735	0.08312	0.001784
hsa-miR-326	724	86.31	0.51500591643373	0.08172	0.001785
hsa-miR-106a-5p	60	87.11	0.507921464957328	0.08246	0.001832
hsa-miR-503-3p	1572	87.12	0.512985334813676	0.08111	0.001832
hsa-miR-32-3p	719	88.86	0.512985334813676	0.08435	0.001937
hsa-miR-152-5p	321	89.11	0.58111017522555	0.08365	0.001953
hsa-miR-126-3p	183	90.03	0.509949146304311	0.08474	0.00201
hsa-miR-24-2-5p	511	90.82	0.534061602421118	0.08548	0.00206
hsa-miR-3120-3p	589	98.33	0.512985334813676	0.105	0.002571
hsa-miR-598-3p	1916	98.62	0.480265122054463	0.1043	0.002592
hsa-miR-1291	225	99.85	0.477159211186641	0.1063	0.002683
hsa-miR-195-3p	402	100.8	0.498761465671852	0.1076	0.002755
